Area_Name,Year,Group_Name,Victims_Upto_10_Yrs,Victims_Upto_10_15_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs,Victims_Above_50_Yrs,Victims_Total
Nagaland,2002,Female Victims,0,0,0,1,2,0,3
Odisha,2002,Female Victims,3,0,0,201,117,25,346
Puducherry,2002,Female Victims,1,,,1,8,1,11
Punjab,2002,Female Victims,1,2,2,74,57,5,141
Rajasthan,2002,Female Victims,10,1,1,131,102,16,261
Tamil Nadu,2002,Female Victims,18,8,2,259,165,66,518
Tripura,2002,Female Victims,,,0,10,2,,12
Uttar Pradesh,2002,Female Victims,7,57,84,724,508,73,1453
Uttarakhand,2002,Female Victims,,2,2,23,37,3,67
West Bengal,2002,Female Victims,3,0,0,188,72,9,272
Andaman & Nicobar Islands,2003,Female Victims,1,0,0,2,5,1,9
Andhra Pradesh,2003,Female Victims,8,8,12,378,257,74,737
Arunachal Pradesh,2003,Female Victims,0,0,0,0,0,0,0
Assam,2003,Female Victims,0,0,0,68,31,4,103
Bihar,2003,Female Victims,3,0,2,235,147,6,393
Chandigarh,2003,Female Victims,1,1,0,3,0,1,6
Chhattisgarh,2003,Female Victims,9,4,1,84,88,30,216
Dadra & Nagar Haveli,2003,Female Victims,,,,1,1,1,3
Daman & Diu,2003,Female Victims,0,0,0,0,0,0,0
Delhi,2003,Female Victims,8,6,7,44,43,23,131
Goa,2003,Female Victims,,,,5,5,4,14
Gujarat,2003,Female Victims,29,1,3,160,130,33,356
Haryana,2003,Female Victims,1,1,7,93,41,8,151
Himachal Pradesh,2003,Female Victims,0,0,1,12,16,5,34
Jammu & Kashmir,2003,Female Victims,0,0,0,57,42,3,102
Jharkhand,2003,Female Victims,2,1,1,177,185,30,396
Karnataka,2003,Female Victims,50,12,21,249,154,39,525
Kerala,2003,Female Victims,15,3,3,28,55,22,126
Madhya Pradesh,2003,Female Victims,16,4,39,194,151,50,454
Maharashtra,2003,Female Victims,79,22,18,533,274,70,996
Manipur,2003,Female Victims,1,0,0,8,2,0,11
Meghalaya,2003,Female Victims,0,0,2,4,3,1,10
